#OTU ID	taxonomy	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5
22959	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium	777	77547	6158	1267	467	371	615	3776	60	194	220	426	297	12734	2052	47	1088	3372	10	0	111	17	0	80	89	61	67	0	66	0	0	0	37	113	7	6	137	8286	6293	2826	644	2112	7	114	906	819	6300	216	3000	0	239	1170	735	5297	264	25451	693	7	17	0	0	39534	13178	29636	27631	90444	2010	1945	7132	16252	14754	23455	9827	3528	0	260	0	111	0	7	0	0	0	1832	571	11804	66	143
23246	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Marivita	27	5	17	0	0	20	6	49	22	0	0	0	66	32	0	0	7	6	0	26	10	55	79	0	5	9	21	0	10	8239	16	92	197	950	7	332	1791	15593	2491	4650	5087	9421	207	10174	2163	16148	16263	2055	316	12	119	7937	7	189	355	1592	1105	4572	174	1374	3688	0	0	15	0	0	29	0	6	0	0	0	0	0	0	59	0	0	6	0	0	0	0	0	0	10	6	82
23311	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter	6	58	17	7	7	16	11	29	0	19	5	14	36	60	10	0	23	33	0	0	14	0	0	961	8	0	27	0	227	2507	591	71	0	305	17	635	7270	635	8005	1353	1142	455	225	3408	9597	6657	3684	9920	9547	5	630	9760	386	11121	3949	10034	8015	1065	1093	233	1285	0	0	23	0	0	9	0	0	0	0	0	0	0	0	236	0	5	0	0	0	0	0	0	0	0	9	214
23234	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Roseibacterium	0	0	0	0	0	10	0	0	0	0	0	6	8	35	9	0	79	27	20	175	167	209	227	28	14	8	11	0	5	1971	0	31	2560	1954	38	5832	2889	1714	3705	1688	1162	1328	50	4478	920	3388	4309	7138	6055	1337	11278	4163	732	6519	13383	7294	13149	563	54	255	648	0	10	6	0	0	30	0	0	0	0	0	0	0	0	71	0	0	15	0	242	0	33	0	0	0	0	48
22100	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium	737	2267	21502	1656	8311	303	1869	565	18	141	76	59	1268	203	761	16	130	211	0	0	56	0	0	19	10	7	38	0	0	0	0	0	28	48	0	0	51	1222	67	5991	903	1560	6	60	157	47	1480	19	1204	5	80	7382	10	817	37	488	79	0	6	0	0	10932	4071	615	6078	5646	0	17	3520	0	1047	692	563	117	0	41	0	30	6	0	0	5	0	1601	369	902	15	156
22075	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_proteobacterium	0	32	242	21	389	120	1978	1322	104	719	60	237	57	567	2854	116	191	4390	0	0	56	0	0	1306	4115	64	264	84	0	8	0	0	7	11	7	0	6	6	0	6	0	0	14	11	0	7	0	61	35	0	29	31	107	65	113	12	32	0	6	0	0	347	297	2677	49	200	46	2549	166	4425	7264	4130	1375	2556	0	64	0	9	0	0	0	0	0	271	217	604	40	91
23299	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Oceanospirillaceae; __Pseudohongiella; __uncultured_bacterium	7	0	0	0	0	15	0	14	0	0	0	0	10	19	0	0	0	5	5	0	0	0	0	0	0	0	0	0	405	6965	555	166	1691	2887	0	2544	183	393	3295	107	600	704	79	3245	2124	3371	2283	1701	57	45	178	680	201	724	1009	268	674	997	5824	156	1259	0	0	16	0	0	53	0	6	0	0	0	0	0	26	48	11	41	0	0	0	6	0	0	0	0	0	27
22632	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Persicirhabdus; __uncultured_Verrucomicrobia_bacterium	191	53	1135	616	4688	19	91	48	0	89	0	10	14	10	297	0	34	103	0	0	6	0	0	12	0	0	25	0	13	0	0	0	0	55	0	0	39	741	38	140	723	9830	0	8	67	30	1386	58	970	0	8	192	42	1423	88	220	25	0	0	0	0	130	768	469	83	96	6	41	10360	0	135	1744	360	23	0	14	0	5	0	0	0	0	0	715	413	274	6	11
23222	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter	561	146	536	0	1504	534	6244	527	10	1017	431	136	1699	863	13630	22	24	632	0	0	46	0	0	382	146	5	19	5	0	5	0	0	19	21	0	0	0	6	7	10	0	5	0	0	20	25	19	0	744	0	95	137	7	25	0	5	21	0	0	0	0	1435	1485	3736	375	14	0	0	6	5	0	0	0	0	0	0	0	23	0	0	0	0	0	36	9	24	0	44
23163	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Nonlabens	12	1215	3012	0	12908	0	57	72	15	2732	80	222	3228	98	555	17	887	44	0	0	92	24	8	1127	511	478	165	94	0	0	0	0	61	156	0	0	29	33	19	131	16	189	9	6	44	72	48	28	1441	123	529	1323	37	172	452	593	71	0	57	0	0	204	31	5	59	78	0	16	16	0	0	5	0	0	0	0	0	43	0	0	0	0	7	6	6	0	20	15
19629	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Colwelliaceae; __Colwellia	155	56	134	6510	6	23	1035	573	0	3907	61	59	158	10	1399	97	53	521	5	0	58	0	0	19	5	5	0	0	0	8	0	0	14	0	0	0	627	15	40	7	10434	9	14	11	141	130	939	16	402	16	145	57	0	2817	16	32	70	6	8	0	0	56	1581	0	61	11	0	0	0	0	33	0	5	6	0	509	0	179	0	0	5	0	6	11	7	0	0	0
23024	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Paraglaciecola; __uncultured_bacterium	358	820	591	44	103	227	625	732	0	1871	132	296	238	35	1577	3988	208	1052	42	0	5	7	0	39	81	311	263	45	0	0	0	0	898	172	226	111	63	98	191	13	169	77	49	51	89	199	51	31	695	208	2529	1801	187	4759	3783	302	1667	0	17	0	0	76	14	12	181	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	12
19593	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Alcanivoracaceae; __Alcanivorax	104	6	87	35	182	448	45	209	30	265	64	135	96	89	270	45	276	308	80	31	50	22	89	0	85	8	37	10	0	14	0	0	0	5	0	0	0	2051	109	226	637	1835	22	2013	385	196	945	143	216	0	18	136	571	180	140	48	33	14825	1000	266	193	46	1197	45	170	128	0	0	0	0	0	0	0	0	0	6	0	0	114	71	285	193	159	59	36	65	0	27
22790	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae	39	700	400	17	109	0	5	52	8	53	7	17	276	28	109	0	9	19	0	11	29	23	68	5	17	0	39	0	5	12	0	0	34	0	0	0	137	4277	363	690	469	4448	0	127	103	159	464	718	2332	54	752	2214	22	717	62	18	35	1039	3914	236	210	0	0	0	0	0	0	7	543	0	0	0	0	6	0	10	0	19	0	8	58	8	0	0	0	0	0	18
16974	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_proteobacterium	0	0	27	48	40	50	1841	351	31	4463	11	162	110	206	1116	39	65	623	0	0	31	40	5	926	273	215	203	6	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	5	5	6	12	15	39	0	13	8	14	24	32	0	0	0	0	0	0	231	221	94	74	677	15	858	1024	433	1695	2289	457	112	0	52	0	23	0	0	11	8	0	1901	1832	2477	176	297
22445	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola	877	72	321	9	40	35	328	137	0	3830	4023	776	100	0	1145	2409	1102	1696	5	0	5	0	0	114	19	373	4155	50	0	0	0	0	35	108	124	144	66	8	15	0	6	17	30	10	12	13	12	376	161	142	431	371	36	299	1361	71	393	0	55	0	0	0	18	0	0	0	5	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
23020	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Roseibacillus; __uncultured_bacterium	0	0	0	123	0	0	0	32	0	17	0	0	205	7	65	0	0	0	52	0	22	0	0	1598	3435	35	146	36	0	0	0	0	196	174	0	0	103	0	19	9	0	54	22	0	0	33	7	259	812	0	61	989	64	951	198	14	40	0	0	0	0	13	651	155	14	24	0	0	20	0	0	0	0	0	0	47	0	45	0	5	0	0	0	4260	2214	4885	345	82
18192	Bacteria; __Proteobacteria; __Betaproteobacteria; __Methylophilales; __Methylophilaceae; __OM43_clade; __uncultured_marine_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	3960	179	90	21	12	0	0	401	845	836	185	743	714	53	1013	536	1119	1553	317	360	0	484	480	0	714	48	62	72	915	3127	202	3297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	12
