	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
NumofSeq	1043	739	160	7113	118188	80404	12676	42228	1446	49555	16739	10032	24186	558	6610	26584	15247	53480	50249	50195	20351	22996	29793	47764	32649	31802	21972	1157	21871	17576	29849	23766	34963	53212	57057	281	12256	30595	64990	45762	27361	53995	68070	49999	67721	7255	57616	70785	1906	50240	46788	62469	73060	21609	68514	56594	70097	51724	75724	39101	47734	65201	119050	42608	35399	54479	3002	5111	4658	60840	5985	2648	14313	36051	1321	16498	21550	7673	4332	18845	4430	26061	3407	8736	62728	27621	33624	51328	19733	10407	483	7422	9274	6195	23068	327	
MaxSeq	86	158	126	877	77547	21502	6510	12908	295	5838	4023	1057	3228	104	957	6244	3776	45817	12734	13630	7093	8076	4390	4184	4115	2325	4155	177	977	887	1198	783	3087	14825	6226	190	4249	3688	15593	8005	5991	10434	9830	9920	9547	1337	11278	9760	225	10174	9597	16148	16263	1748	11121	13383	25451	13149	39534	13178	29636	27631	90444	4260	3679	11804	345	297	1737	13183	1839	483	2560	5871	226	5832	7270	337	195	811	193	5937	2010	2549	10744	16252	14754	23455	9827	3528	161	455	509	512	2091	252	
NumofOTU	156	180	5	342	414	565	333	395	140	524	322	364	516	90	305	501	579	194	702	685	230	501	558	552	444	451	438	140	636	548	722	617	634	336	415	16	264	299	509	462	450	495	568	620	792	298	698	801	283	830	863	884	911	721	962	884	831	858	336	640	525	411	332	473	445	528	279	537	213	637	189	193	393	518	141	404	471	452	438	565	381	384	200	243	365	167	275	268	240	238	101	142	396	125	506	8	
#OTU ID																																																																																																	
22959	1	158	0	777	77547	6158	1267	467	60	194	220	426	297	3	371	615	3776	565	12734	2052	47	1088	3372	80	89	61	67	3	10	2	111	17	2	7	17	1	4	4	8286	6293	2826	644	2112	216	3000	2	239	1170	7	114	906	819	6300	735	5297	264	25451	693	39534	13178	29636	27631	90444	1832	571	11804	66	143	66	3	0	1	37	113	7	6	137	4	7	2	0	3	2010	1945	7132	16252	14754	23455	9827	3528	7	0	260	2	111	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
23246	0	60	0	27	5	17	2	4	22	1	3	1	66	0	20	6	49	0	32	3	0	7	6	3	5	9	21	0	1	26	10	55	79	4572	174	0	1374	3688	15593	2491	4650	5087	9421	2055	316	12	119	7937	207	10174	2163	16148	16263	7	189	355	1592	1105	0	2	15	0	2	0	0	10	6	82	10	8239	16	92	197	950	7	332	1791	6	2	0	2	1	29	1	6	0	0	0	0	0	10	0	59	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Marivita
23311	23	31	0	6	58	17	7	7	1	19	5	14	36	0	16	11	29	1	60	10	3	23	33	961	8	1	27	0	2	3	14	2	3	1065	1093	0	233	1285	635	8005	1353	1142	455	9920	9547	5	630	9760	225	3408	9597	6657	3684	386	11121	3949	10034	8015	1	1	23	0	1	0	0	4	9	214	227	2507	591	71	2	305	17	635	7270	1	0	0	2	0	9	0	3	1	0	0	1	3	17	0	236	0	5	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter
23234	1	26	0	1	1	3	1	1	4	2	3	6	8	0	10	1	4	0	35	9	0	79	27	28	14	8	11	2	20	175	167	209	227	563	54	1	255	648	1714	3705	1688	1162	1328	7138	6055	1337	11278	4163	50	4478	920	3388	4309	732	6519	13383	7294	13149	2	10	6	0	1	3	0	0	0	48	5	1971	0	31	2560	1954	38	5832	2889	15	2	242	4	33	30	1	3	0	3	0	0	0	5	0	71	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Roseibacterium
22100	0	3	0	737	2267	21502	1656	8311	18	141	76	59	1268	14	303	1869	565	432	203	761	16	130	211	19	10	7	38	0	2	1	56	1	1	0	6	0	3	0	1222	67	5991	903	1560	19	1204	5	80	7382	6	60	157	47	1480	10	817	37	488	79	10932	4071	615	6078	5646	1601	369	902	15	156	0	2	0	0	28	48	3	1	51	6	0	2	5	3	0	17	3520	1	1047	692	563	117	3	1	41	0	30	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
19629	0	1	0	155	56	134	6510	6	0	3907	61	59	158	0	23	1035	573	45817	10	1399	97	53	521	19	5	5	0	1	5	2	58	4	4	6	8	1	1	3	15	40	7	10434	9	16	402	16	145	57	14	11	141	130	939	4	2817	16	32	70	56	1581	4	61	11	11	7	3	3	4	0	8	3	1	14	3	1	3	627	3	0	5	0	6	1	0	4	1	33	4	5	6	1	4	509	1	179	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Colwelliaceae; __Colwellia
